transaction_id,account_id,date,hour_of_day,minute_of_hour,day_of_week,is_weekend,is_holiday,days_since_last_holiday,amount,amount_to_avg_ratio,amount_percentile,transaction_type,transaction_duration,is_recurring,new_payee_flag,avg_unique_merchants_7d,rolling_mean_3mo_amount,rolling_std_3mo_amount,time_since_last_tx_secs,tx_count_last_1h,tx_count_last_7d,tx_sum_last_24h,location,is_new_device,device_age_days,login_attempt_count,age,is_anomaly,anomaly_confidence
TX001313,AC00001,2023-09-15 17:00:20,17,0,4,False,False,11,47.79,1.0,0.5,0,37,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,Denver,True,186,1,25,False,0.3110281893766191
TX002017,AC00001,2023-11-14 16:56:34,16,56,1,False,False,4,212.97,1.0,1.0,0,178,False,True,0.1428571428571428,0.0,0.0,5183774,0,0,0.0,Atlanta,True,0,1,59,False,0.17575730525239905
TX002121,AC00002,2023-01-10 16:00:32,16,0,1,False,False,8,476.99,1.0,0.8571428571428571,0,187,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,San Diego,True,0,1,23,False,0.20678571714874333
TX000021,AC00002,2023-02-28 16:36:58,16,36,1,False,False,8,59.32,1.0,0.2857142857142857,0,38,False,True,0.1428571428571428,0.0,0.0,4235786,0,0,0.0,Los Angeles,True,0,1,71,False,0.11787823357168967
TX001477,AC00002,2023-05-05 16:35:44,16,35,4,False,False,74,12.62,1.0,0.1428571428571428,0,61,False,True,0.1428571428571428,0.0,0.0,5702326,0,0,0.0,El Paso,True,66,1,33,False,0.27526158149936425
TX000062,AC00002,2023-05-16 16:07:30,16,7,1,False,False,85,263.99,1.0,0.4285714285714285,0,227,False,True,0.1428571428571428,0.0,0.0,948706,0,0,0.0,Dallas,True,82,2,79,False,0.3854564534500825
TX001599,AC00002,2023-07-24 16:14:05,16,14,0,False,False,20,395.16,1.0,0.7142857142857143,0,17,False,True,0.1428571428571428,0.0,0.0,5961995,0,0,0.0,Milwaukee,True,200,1,56,False,0.16088020460431846
TX001674,AC00002,2023-09-11 17:52:59,17,52,0,False,False,7,331.66,1.0,0.5714285714285714,0,145,False,False,0.1428571428571428,0.0,0.0,4239534,0,0,0.0,Las Vegas,True,180,1,76,False,0.6021055804408936
TX001029,AC00002,2023-12-21 17:00:50,17,0,3,False,False,28,516.47,1.0,1.0,1,94,False,True,0.1428571428571428,0.0,0.0,8723271,0,0,0.0,Charlotte,True,294,1,25,False,0.42573727969329966
TX002326,AC00003,2023-01-02 16:45:05,16,45,0,False,True,7,20.17,1.0,0.2,0,86,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,San Antonio,True,0,1,77,False,0.4238546703323328
