id,amount,date,merchant_city,mcc,target
1,56.98,2015-05-15 19:32:31,Burley,3509,0
2,49.38,2015-05-16 13:53:27,Fitzgerald,7922,0
3,58.1,2015-05-16 21:04:13,Jerseyville,7549,0
4,59.01,2015-05-17 01:42:10,Union Springs,7011,0
5,43.25,2015-05-17 04:54:46,Marina,5499,0
6,34.43,2015-05-17 07:04:54,Palo Alto,5722,0
7,37.84,2015-05-17 09:44:04,Strafford,5941,0
8,86.59,2015-05-17 22:37:56,Easley,8011,0
9,22.81,2015-05-18 04:01:51,Lansing,7542,0
10,24.3,2015-05-19 03:02:57,Key Largo,3256,0
11,21.06,2015-05-19 03:42:40,Blackville,5814,0
12,31.91,2015-05-19 12:56:17,Franklinville,4121,0
13,53.34,2015-05-21 17:35:37,Ashley,5816,0
14,25.78,2015-05-22 18:06:32,Rancho Cucamonga,3780,0
15,71.16,2015-05-22 22:08:44,Little Chute,4112,0
16,56.46,2015-05-23 03:20:15,Torrance,4121,0
17,96.54,2015-05-23 06:20:37,Safety Harbor,7802,0
18,33.64,2015-05-24 21:54:11,Walled Lake,5311,0
19,49.61,2015-05-26 15:50:45,Franconia,3393,0
20,42.18,2015-05-26 20:14:20,Bel Air,5719,0
21,65.3,2015-05-28 06:31:27,Atlanta,5941,0
22,19177.55,2015-05-28 08:45:05,Bluffton,7210,1
23,33.49,2015-05-28 16:49:03,South Dennis,3174,0
24,29.3,2015-05-28 21:33:34,Kew Gardens,3001,0
25,41.25,2015-05-29 00:22:00,Benson,5921,0
26,57.83,2015-05-29 03:15:40,Springvale,5193,0
27,28.9,2015-05-29 07:59:37,Lawrence,3000,0
28,29.96,2015-05-29 12:55:24,Zion Grove,3001,0
29,42.07,2015-05-30 03:42:21,Arcadia,3775,0
30,50.36,2015-06-02 00:08:23,Oak Ridge,7801,0
31,26.84,2015-06-02 00:31:39,Blountville,3260,0
32,144.02,2015-06-02 10:00:30,Yates City,3722,0
33,20.46,2015-06-03 05:59:04,Gulf Breeze,5541,0
34,43.06,2015-06-03 15:18:52,Knoxville,7995,0
35,22.24,2015-06-03 17:59:23,Parkers Prairie,4814,0
36,19.45,2015-06-04 04:04:33,Laurinburg,3007,0
37,63.03,2015-06-05 18:18:20,Lakeside,5300,0
38,38.76,2015-06-06 11:27:38,Kokomo,3007,0
39,27.71,2015-06-07 02:08:44,Mount Carmel,5722,0
40,43.18,2015-06-07 07:00:09,Green Village,3775,0
41,138.29,2015-06-07 09:51:43,Boca Raton,1711,0
42,59.58,2015-06-07 21:16:16,Gainesville,5815,0
43,70.91,2015-06-09 00:43:25,Cincinnati,3075,0
44,90.63,2015-06-09 19:01:48,Lake View,5311,0
45,84.06,2015-06-11 00:31:39,Forney,5311,0
46,27.12,2015-06-11 09:14:26,Manor,5932,0
47,48.96,2015-06-12 13:48:13,Chaptico,4511,0
48,17.89,2015-06-13 14:11:03,Naugatuck,5932,0
49,47.96,2015-06-13 15:29:59,Warwick,8111,0
50,37.01,2015-06-13 23:57:04,Moreno Valley,5712,0
51,34.25,2015-06-14 02:45:02,East Hartford,5411,0
52,53.16,2015-06-15 11:23:35,Isanti,5211,0
53,23.98,2015-06-15 17:35:44,Cordele,3722,0
54,30.86,2015-06-15 23:08:35,Oriskany Falls,3596,0
55,43.63,2015-06-18 10:57:34,Newport Beach,7922,0
56,35.92,2015-06-18 14:27:18,Harrisville,5732,0
57,22.55,2015-06-20 09:53:28,Barnegat,7538,0
58,20.59,2015-06-20 14:55:26,Ludlow,3775,0
59,32.13,2015-06-22 16:17:38,Ukiah,5411,0
60,34.76,2015-06-23 05:31:59,Shelton,3359,0
61,47.86,2015-06-23 11:13:32,Stevens Point,7995,0
62,20.88,2015-06-23 14:47:37,New Bloomfield,8049,0
63,51.92,2015-06-23 18:54:11,Vero Beach,3722,0
64,11.24,2015-06-29 02:41:07,Ladson,5816,0
65,28.91,2015-06-29 19:58:23,Flagstaff,3260,0
66,24.66,2015-06-29 22:43:00,Edgerton,3008,0
67,21.76,2015-07-04 10:29:14,Procious,8931,0
68,73.77,2015-07-05 05:39:26,Mount Pleasant,5912,0
69,14.78,2015-07-05 10:10:38,Belle Fourche,8062,0
70,56.38,2015-07-06 10:27:54,Silver Spring,3596,0
71,56.73,2015-07-07 02:56:14,Kissimmee,8021,0
72,29.69,2015-07-07 21:29:45,Bloomfield Hills,3144,0
73,26.57,2015-07-08 04:19:23,Sugarcreek,5719,0
74,62.11,2015-07-10 05:06:49,Greenup,8931,0
75,59.02,2015-07-10 10:48:03,Braintree,7996,0
76,73.16,2015-07-11 03:43:30,Knox City,3359,0
77,64.39,2015-07-11 06:14:33,Marshfield Hills,5921,0
78,57.56,2015-07-11 16:03:19,Jenks,7802,0
79,12.35,2015-07-11 16:25:51,East Elmhurst,4121,0
80,73.87,2015-07-11 19:23:42,Rosemount,5970,0
81,24.94,2015-07-12 04:06:26,Imperial Beach,3144,0
82,39.23,2015-07-12 16:46:09,Foristell,3359,0
83,23.61,2015-07-12 16:47:04,Von Ormy,3771,0
84,43.86,2015-07-12 17:03:27,Depew,3780,0
