id,amount,date,merchant_city,mcc,target
1,61.99,2016-01-01 04:14:21,Wayne City,7549,0
2,54.58,2016-01-01 07:02:01,Wayne City,1711,0
3,65.68,2016-01-01 10:58:14,Wayne City,5311,0
4,45.81,2016-01-01 11:53:55,Saint Joseph,1711,0
5,63.65,2016-01-01 12:15:32,Wayne City,3771,0
6,19.15,2016-01-01 12:32:30,Wayne City,3405,0
7,42.73,2016-01-01 12:38:01,Wayne City,8011,0
8,67.19,2016-01-01 14:23:34,Wayne City,3007,0
9,38.1,2016-01-01 17:31:43,Wayne City,4814,0
10,31.73,2016-01-01 18:37:09,Wayne City,7549,0
11,62.03,2016-01-01 19:14:27,Wayne City,5211,0
12,34.38,2016-01-01 19:55:27,Tallassee,4131,0
13,25.73,2016-01-01 21:48:54,Wayne City,4511,0
14,51.87,2016-01-01 22:35:59,Wayne City,3007,0
15,145.64,2016-01-02 02:27:08,Wayne City,5211,0
16,34.51,2016-01-02 07:24:24,Dorchester Center,3058,0
17,42.93,2016-01-02 08:28:28,ONLINE,5261,0
18,53.18,2016-01-02 10:24:56,ONLINE,3260,0
19,60.93,2016-01-02 11:26:48,Wayne City,4511,0
20,29.9,2016-01-02 14:05:16,Wayne City,7349,0
21,31.31,2016-01-02 17:44:14,Wayne City,5311,0
22,72.35,2016-01-02 19:55:42,Wayne City,8043,0
23,41.01,2016-01-02 20:48:41,Wayne City,3058,0
24,23.97,2016-01-02 22:01:06,Wayne City,4722,0
25,68.58,2016-01-03 00:51:52,Hawthorne,8111,0
26,28.39,2016-01-03 02:09:15,Stapleton,7549,0
27,43.91,2016-01-03 02:49:27,Inglewood,8049,0
28,56.68,2016-01-03 03:07:17,Wayne City,4722,0
29,53.09,2016-01-03 03:16:15,Wayne City,5311,0
30,82.35,2016-01-03 04:27:31,Wayne City,7349,0
31,24.93,2016-01-03 04:27:55,Wayne City,4900,0
32,94.44,2016-01-03 05:27:51,Buchanan Dam,3132,0
33,7298.13,2016-01-03 05:41:09,Greenwood,3780,1
34,19.97,2016-01-03 05:57:18,Belews Creek,3005,0
35,34.89,2016-01-03 11:03:32,Lordsburg,4900,0
36,52.43,2016-01-03 13:25:09,Wayne City,5815,0
37,32.36,2016-01-03 13:31:19,Wayne City,1711,0
38,113.37,2016-01-03 13:51:55,Los Fresnos,1711,0
39,41.04,2016-01-03 14:35:59,Wayne City,5947,0
40,42.12,2016-01-03 15:00:47,Wayne City,8049,0
41,114.41,2016-01-03 15:54:49,ONLINE,4900,0
42,41.86,2016-01-03 16:03:08,Wayne City,3058,0
43,7755.89,2016-01-03 16:46:09,Salida,5621,1
44,127.47,2016-01-03 20:41:07,ONLINE,3132,0
45,45.57,2016-01-04 00:57:24,Wayne City,7549,0
46,78.77,2016-01-04 01:30:20,ONLINE,3009,0
47,64.76,2016-01-04 03:15:59,Wayne City,5977,0
48,29.33,2016-01-04 03:30:56,Wayne City,5261,0
49,97.67,2016-01-04 04:25:56,Wayne City,5816,0
50,102.91,2016-01-04 08:08:40,Wayne City,8011,0
51,57.82,2016-01-04 08:11:57,Wayne City,5211,0
52,40.61,2016-01-04 09:54:41,Wayne City,7276,0
53,32.12,2016-01-04 16:48:24,Wayne City,4722,0
54,74.73,2016-01-04 18:26:25,Wayne City,5261,0
55,28.68,2016-01-04 18:53:34,Wayne City,3005,0
56,74.99,2016-01-04 19:02:17,Wayne City,5970,0
57,77.4,2016-01-04 19:11:28,Wayne City,4900,0
58,48.99,2016-01-04 21:41:50,Wayne City,3001,0
59,92.05,2016-01-05 00:02:32,Wayne City,5816,0
60,35.55,2016-01-05 00:12:54,Wayne City,4722,0
61,8858.62,2016-01-05 00:29:33,Wayne City,4112,1
62,38.83,2016-01-05 01:34:37,Evans,3132,0
63,36.37,2016-01-05 02:11:53,Wayne City,5970,0
64,29.59,2016-01-05 03:36:25,Wayne City,8011,0
