transaction_id,date,amount,transaction_type,transaction_duration,is_recurring,channel,customer_age,is_weekend,is_holiday,amount_percentile,time_since_last_tx_secs,rolling_mean_3mo_amount,rolling_std_3mo_amount,is_new_merchant,is_new_device,is_anomaly
948,2024-05-13 16:02:04.435822,37.94,debit,2.4090676038287304,False,online,44,False,False,0.7386,58499.035448,34.859266425481685,36.60846822036053,False,False,False
1560,2024-05-13 16:25:39.286220,34.23,credit,4.13380218337317,False,atm,44,False,False,0.7084,1414.850398,34.85445352781948,36.46634016368972,False,False,False
2426,2024-05-13 21:41:40.444045,2.01,debit,2.1390254651579497,False,online,44,False,False,0.0124,18961.157825,34.60373854830792,36.43897883740608,False,False,False
4124,2024-05-14 13:33:40.485252,21.98,debit,3.5449623702274304,False,branch,44,False,False,0.5464,57120.041207,34.28098892553308,36.36140934253739,False,False,False
193,2024-05-15 03:03:42.087165,17.98,debit,4.426549332610835,False,online,44,False,False,0.4634,48601.601913,34.157486698001385,36.25014061988765,False,False,False
1357,2024-05-16 03:57:01.498091,40.3,debit,3.319264882697434,False,online,44,False,False,0.7588,89599.410926,34.467991251817146,36.29042834400788,False,False,False
3395,2024-05-17 02:39:59.249536,19.36,credit,0.6093171652990113,False,online,44,False,False,0.493,81777.751445,34.0225520228798,36.11318383708653,False,False,False
486,2024-05-17 19:57:09.495706,8.63,debit,4.776509600007757,False,online,44,False,False,0.206,62230.24617,33.83021241879371,36.04288956860508,False,False,False
1782,2024-05-20 00:55:09.882547,10.98,debit,0.6877615678407647,False,atm,44,False,False,0.2814,190680.386841,34.24549919152706,36.34100725284786,False,False,False
3289,2024-05-20 01:58:29.844830,7.11,debit,0.7384045698616861,False,online,44,False,False,0.1554,3799.962283,34.036731043721176,36.27805126509237,False,False,False
2926,2024-05-20 16:32:50.076868,8.97,debit,0.7872394641175109,False,online,44,False,False,0.2174,52460.232038,33.638868079894124,36.26705951161471,False,False,False
4338,2024-05-22 09:09:26.824083,62.53,debit,1.2564808754276018,False,online,44,False,False,0.8712,146196.747215,34.12075717609101,36.86775750399763,False,False,False
3772,2024-05-22 10:00:47.218996,28.03,debit,2.3430142981253974,False,atm,44,False,False,0.6388,3080.394913,34.07240786070961,36.7240008130938,False,False,False
2357,2024-05-22 13:32:41.946208,14.2,debit,3.57680695019642,False,branch,44,False,False,0.3726,12714.727212,33.915930694198444,36.62046224052792,False,False,False
402,2024-05-22 22:16:46.032464,55.99,debit,3.9313655469228914,False,online,44,False,False,0.8466,31444.086256,34.28993152323275,36.6012531834934,False,False,False
2233,2024-05-24 04:16:45.291188,28.15,credit,2.1281331561597057,False,online,44,False,False,0.6404,107999.258724,34.474669654415095,36.70254975029099,False,False,False
569,2024-05-28 19:06:02.236207,6.13,debit,3.251088638488138,False,online,44,False,False,0.1226,398956.945019,35.196095675238425,37.39558129066376,False,False,False
3976,2024-05-29 02:31:09.955557,12.71,debit,2.927094872031033,False,branch,44,False,False,0.333,26707.71935,33.64596341263971,35.1766242846252,False,False,False
3741,2024-05-29 12:44:04.475941,16.2,debit,3.855262573293098,False,atm,44,False,False,0.426,36774.520384,33.50056350453121,35.064705269224,False,False,False
4788,2024-06-01 23:06:02.756715,15.91,debit,2.9085770161163005,False,branch,44,True,False,0.4176,296518.280774,33.99699668682511,35.48089809795447,False,False,False
368,2024-06-02 03:37:46.723774,12.62,debit,2.711361895802968,False,branch,44,True,False,0.3306,16303.967059,33.81430199082011,35.38285947197231,False,False,False
409,2024-06-02 06:22:39.189247,2.62,debit,3.1016330319295413,False,online,44,True,False,0.0248,9892.465473,33.549956940472704,35.34815391154585,False,False,False
3007,2024-06-04 20:12:38.175386,13.9,debit,0.8402071500260557,False,branch,44,False,False,0.3656,222598.986139,33.33488828683409,35.45271920798228,False,False,False
2572,2024-06-04 22:18:36.688730,14.79,credit,2.9398804019873315,False,online,44,False,False,0.3886,7558.513344,33.17638936336768,35.34118360014026,False,False,False
2108,2024-06-05 01:08:19.025636,8.49,debit,1.0988898762775885,False,atm,44,False,False,0.1998,10182.336906,32.96718708644538,35.26313075803502,False,False,False
2003,2024-06-05 10:54:05.189888,32.88,debit,1.6563598425467188,False,branch,44,False,False,0.694,35146.164252,32.966459782634054,35.11339369236676,False,False,False
454,2024-06-05 19:39:14.052610,5.17,debit,2.2299292988032238,False,online,44,False,False,0.0944,31508.862722,32.67430490224149,35.19945527681456,False,False,False
