transaction_id,date,amount,merchant_name,transaction_type,location,recurrence_flag,login_attempts,transaction_duration,day_of_week,is_weekend,rolling_mean_3mo_amount,rolling_std_3mo_amount,time_since_last_tx_days,is_anomaly
07150e4c-4b63-4e2c-9a4c-468f63cd2f9e,2023-12-02,548.38,M049,Debit,Charlotte,False,1,90.5295395283267,5,True,622.0152055127147,35.111688747862566,2.0,False
ad3a8eeb-d72b-4e4d-bcdd-596807e91cbb,2023-12-11,343.02,M090,Credit,Omaha,False,1,139.58708591853818,0,False,336.5175149820894,17.851769035350046,30.0,False
8d3d4d8d-3a42-4ea8-84d5-9a438537642c,2023-02-26,699.36,M085,Debit,Phoenix,True,0,115.35916604739026,6,True,761.1173366613867,72.87656525861814,5.0,False
4fcbd6c3-d89d-4d07-9022-af760d0c1ad3,2023-12-18,857.57,M041,Debit,Colorado Springs,False,1,87.65953044600955,0,False,827.8445792982881,133.05636909381374,0.5,False
b7367f36-d5e7-4f13-9eea-3522df8f957d,2024-02-19,145.15,M048,Debit,Columbus,False,0,87.77305100566433,0,False,156.4584768785425,26.269213585080564,10.0,False
4c48dda4-9ef7-4d9c-a160-bd24343656e0,2024-10-30,264.3,M007,Credit,Philadelphia,False,1,70.00589890581935,2,False,240.7803681767977,39.51318326876032,30.0,False
e4f22475-6360-4ceb-a725-0f858ba5bf0c,2024-05-15,249.87,M041,Debit,Oklahoma City,False,0,162.71542987249103,2,False,228.07001220030975,36.604481720680646,10.0,False
64d615ce-b36d-4946-a181-4c7162efdc85,2022-06-06,0.5,M034,Credit,Miami,False,1,83.47288412570792,0,False,0.5298979577616963,0.0797975519384545,0.5,False
cf3bb566-f487-43b0-a5d2-ebff822b0e74,2023-12-21,225.46,M086,Debit,Fresno,False,0,174.1442106470659,3,False,181.03821059469905,38.6945967267233,5.0,False
f3bb9416-2e71-499e-bf8f-106764b5f8c5,2024-01-19,0.5,M039,Debit,Los Angeles,False,1,90.94677476642214,4,False,0.4195494782366289,0.0928869078762216,5.0,True
986a02ba-97c0-4139-87a8-910263e5e65f,2023-05-22,58.76,M040,Credit,Albuquerque,False,0,277.73218532573685,0,False,63.61358670985604,11.227921367415476,0.5,False
530a1d60-64fb-4466-a929-5a9807d75973,2022-12-10,425.4,M072,Debit,Denver,False,0,165.7140600501981,5,True,473.9504719318333,29.086425205683607,30.0,False
18513c01-0739-4634-aa1a-e69c65cd4d03,2023-03-01,566.99,M021,Debit,Dallas,False,1,88.96542278448848,2,False,590.0148133812979,102.4054911882034,5.0,False
ea45c47f-ed46-485f-9410-01b8735a9d95,2023-11-17,56.26,M023,Debit,Houston,False,1,35.86185411744934,4,False,58.35062036499015,6.485880507670526,0.5,False
1280b1be-dfed-4939-81e8-0c63d81cdbf5,2024-10-03,743.77,M004,Debit,Houston,False,0,38.97606611757657,3,False,707.5384469207484,145.8437649362453,0.5,False
c64fc652-aec9-4df8-9183-45f18f88b3c4,2023-10-30,459.92,M073,Debit,Los Angeles,False,1,131.83145731078884,0,False,535.9595378369928,32.6531266481082,10.0,False
50324993-f054-44a0-a5aa-bfdfd41b31e5,2023-01-04,326.41,M066,Credit,Tucson,False,1,39.094251499163335,2,False,332.70018439728943,19.264827991644523,30.0,False
2219e62e-5e69-461c-8fa6-3a18a039b420,2022-05-06,0.5,M004,Credit,Chicago,False,1,256.3787530051724,4,False,0.4625065208266126,0.0925090598968851,5.0,False
8a337325-813e-4377-a558-429ee68be133,2022-06-27,0.5,M076,Debit,Sacramento,False,1,120.8258832084618,0,False,0.4087654768924227,0.0325539912640404,60.0,False
cf7e87b9-5cb0-4904-8953-527b82ec8404,2022-01-08,196.58,M061,Credit,Philadelphia,False,1,136.3483021000952,5,True,191.96358090085545,20.235713555865956,2.0,False
3c08abd5-2150-4df5-aea2-e6d3fab77dff,2024-09-01,70.73,M020,Credit,Sacramento,False,0,128.44715596592175,6,True,73.01389347025005,4.062509996581229,0.5,False
c8cdce79-1d55-49be-8c6f-b5858ddb94ab,2024-08-11,189.22,M014,Debit,Detroit,False,0,184.94749891010585,6,True,156.26543033342276,36.720594927918675,30.0,False
6002258e-355c-445f-a6f8-493cb600d1b4,2022-07-11,80.2,M090,Debit,Nashville,True,0,188.758502322497,0,False,69.38959598810658,11.586205979209034,0.5,False
9a07bcf6-ea29-489e-91cf-6d9017344814,2024-04-18,396.71,M071,Debit,Albuquerque,False,0,190.23865003686305,3,False,379.2149593565028,53.248406497260355,60.0,False
ab3dec3c-33a9-40fe-bbd0-af69dc3b8a40,2024-05-30,665.29,M031,Credit,San Diego,False,0,79.64918686742726,3,False,741.7232941623257,61.74852220064216,60.0,False
0d639e48-eb2c-4177-8951-3e68589b6eae,2023-08-24,197.09,M069,Credit,Raleigh,False,1,112.7573615292209,3,False,193.0179136221637,35.83526542593515,2.0,False
60f34d75-2d0e-4121-9334-1a92423ad9eb,2022-02-26,165.68,M017,Debit,Las Vegas,True,1,1.0,5,True,151.3216967781568,19.54840751997384,0.5,False
e2d8e8c4-1cc5-4dc6-a655-7af7fb5b6849,2024-06-11,901.26,M039,Credit,Seattle,False,1,206.5930408422851,1,False,967.6252522534588,135.37389663260433,60.0,False
3c15fe0f-5ce8-4b35-8f48-a57200a0641d,2023-09-06,663.2,M093,Debit,Las Vegas,False,2,127.36920410651491,2,False,574.4456244932888,119.83409053968364,2.0,False
6fbc093d-d8b8-42be-b09a-20c71c9d42ce,2022-06-10,0.5,M096,Debit,Omaha,False,1,150.40537472600124,4,False,0.5979188815406276,0.0469609108983015,10.0,False
f304a31a-fa85-4e04-b097-a5d8818497a7,2024-12-05,520.74,M093,Credit,Denver,True,1,104.93777728504104,3,False,595.1985276728705,72.7406284137538,30.0,False
f622d657-fae5-4374-95e3-8f65cfdcb02a,2024-11-13,0.5,M075,Debit,Chicago,False,1,197.0176257423207,2,False,0.4151317703462375,0.0422602860444668,10.0,False
